timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1671634816541,1490,post login,201,Created,NormalTest 1-33,text,true,,525,388,71,71,https://market-final-project.herokuapp.com/auth/login,1490,0,0
1671634817586,481,post login,201,Created,NormalTest 1-51,text,true,,522,386,71,71,https://market-final-project.herokuapp.com/auth/login,481,0,0
1671634816526,1588,post login,201,Created,NormalTest 1-21,text,true,,525,388,71,71,https://market-final-project.herokuapp.com/auth/login,1588,0,0
1671634816317,1801,post-seller-product,201,Created,NormalTest 1-32,text,true,,675,124292,71,71,https://market-final-project.herokuapp.com/seller/product,1801,0,0
1671634817368,890,get-seller-product-id,200,OK,NormalTest 1-16,text,true,,714,472,73,73,https://market-final-project.herokuapp.com/seller/product/41122,890,0,0
1671634817545,735,get-seller-product,200,OK,NormalTest 1-15,text,true,,716,466,73,73,https://market-final-project.herokuapp.com/seller/product,735,0,0
1671634816619,1661,post-register,201,Created,NormalTest 1-57,text,true,,574,886,73,73,https://market-final-project.herokuapp.com/auth/register,1661,0,974
1671634816318,1965,post-register,201,Created,NormalTest 1-54,text,true,,574,876,73,73,https://market-final-project.herokuapp.com/auth/register,1965,0,991
1671634816802,1497,post-seller-product,201,Created,NormalTest 1-29,text,true,,675,124310,73,73,https://market-final-project.herokuapp.com/seller/product,1497,0,0
1671634816719,1589,post-seller-product,201,Created,NormalTest 1-34,text,true,,675,124256,73,73,https://market-final-project.herokuapp.com/seller/product,1589,0,0
1671634817948,421,post login,201,Created,NormalTest 1-56,text,true,,525,388,74,74,https://market-final-project.herokuapp.com/auth/login,421,0,0
1671634817447,936,get-seller-product-id,200,OK,NormalTest 1-10,text,true,,714,472,74,74,https://market-final-project.herokuapp.com/seller/product/41123,936,0,0
1671634816993,1392,delete-seller-product,200,OK,NormalTest 1-4,text,true,,322,494,74,74,https://market-final-project.herokuapp.com/seller/product/41112,1392,0,0
1671634816993,1542,delete-seller-product,200,OK,NormalTest 1-5,text,true,,322,494,76,76,https://market-final-project.herokuapp.com/seller/product/41114,1542,0,0
1671634817217,1490,post-register,201,Created,NormalTest 1-63,text,true,,573,910,77,77,https://market-final-project.herokuapp.com/auth/register,1489,0,740
1671634816718,1989,post-register,201,Created,NormalTest 1-58,text,true,,574,876,77,77,https://market-final-project.herokuapp.com/auth/register,1989,0,1074
1671634816920,1816,post login,201,Created,NormalTest 1-40,text,true,,525,388,78,78,https://market-final-project.herokuapp.com/auth/login,1816,0,0
1671634817641,1097,delete-seller-product,200,OK,NormalTest 1-12,text,true,,322,494,78,78,https://market-final-project.herokuapp.com/seller/product/41113,1096,0,0
1671634817116,1666,post-seller-product,201,Created,NormalTest 1-35,text,true,,675,124314,78,78,https://market-final-project.herokuapp.com/seller/product,1666,0,0
1671634818281,584,post login,201,Created,NormalTest 1-57,text,true,,525,388,79,79,https://market-final-project.herokuapp.com/auth/login,584,0,0
